시군코드,시군명,사업장명,소재지지번주소,소재지도로명주소,인허가일자,영업상태명,소재지우편번호,약국영업면적,인허가구분명,지정일자,WGS84경도,WGS84위도
41450,하남시,풍산온누리약국,경기도 하남시 덕풍동 744번지 2호 풍산캐슬 108호,"경기도 하남시 덕풍동로 111, 108호 (덕풍동, 풍산캐슬)",20090501,운영중,465013,49.5,약국,20090501,127.20767184962455,37.55177164936038
41450,하남시,해맑은약국,경기도 하남시 덕풍동 415번지 72호 3층,"경기도 하남시 신장로 152, 3층 (덕풍동)",20100329,운영중,465813,49.5,약국,20100329,127.20219766779744,37.53952397793422
41450,하남시,광동약국,경기도 하남시 신장동 148번지 1호,경기도 하남시 대청로21번길 15 (신장동),20101001,운영중,465032,26.4,약국,20101001,127.21377506739826,37.54110376011477
41450,하남시,그린약국,경기도 하남시 덕풍동 349번지 정우빌딩 1층,"경기도 하남시 신장로 201, 1층 (덕풍동, 정우빌딩)",20100620,운영중,465012,94.39,약국,20100620,127.1986857311789,37.54301500083356
41450,하남시,하남백화점약국,경기도 하남시 신장동 524번지 2호,"경기도 하남시 대청로 30 (신장동, 우신빌딩)",20110427,운영중,,89.76,약국,20110427,127.21495442778313,37.54042767253203
41450,하남시,홈약국,경기도 하남시 신장동 570번지 지하 3층,"경기도 하남시 하남대로 747 (신장동, 하남두산위브파크)",20101216,운영중,,36.3,약국,20101216,127.21262570506917,37.53800640051344
41450,하남시,꽃뫼 온누리 약국,경기도 하남시 덕풍3동 775번지 휴먼시아꽃뫼마을1단지아파트 상가,"경기도 하남시 덕풍북로 70-1, 1층 (덕풍동, 휴먼시아꽃뫼마을1단지@상가)",20110430,운영중,465727,20.25,약국,20110430,127.20020908356997,37.55243325666806
41450,하남시,옵티마하남약국,"경기도 하남시 덕풍동 394번지 1호 하남프라자 107, 108호","경기도 하남시 신장로 156, 107,108호 (덕풍동, 하남프라자)",20070906,운영중,465813,91,약국,20070906,,
41450,하남시,수약국,경기도 하남시 신장2동 519번지 5호 1층,"경기도 하남시 대청로 7, 1층 (신장동)",20091125,운영중,465810,,약국,20091125,127.21392745952429,37.54058090515669
41450,하남시,나은약국,경기도 하남시 덕풍동 372번지 2호 대동피렌체상가 221호,"경기도 하남시 신장로 151, 221호 (덕풍동, 대동피렌체상가)",20111219,운영중,465804,37.21,약국,20111219,127.20184023485305,37.53956783733955
41450,하남시,지에스약국,경기도 하남시 신장동 427번지 394호 1층,"경기도 하남시 신평로 62, 1층 (신장동)",20120614,운영중,465820,132.58,약국,20120614,127.20789144310183,37.53956454745474
41450,하남시,대웅약국,경기도 하남시 신장동 427번지 17호,경기도 하남시 신평로 45 (신장동),19911007,운영중,,19.04,약국,19911007,127.20789144310183,37.53956454745474
41450,하남시,정우약국,경기도 하남시 덕풍동 365번지 70호,경기도 하남시 덕풍공원로47번길 16 (덕풍동),20060707,운영중,,54.93,약국,20060707,127.1979388878185,37.53958164913506
41450,하남시,옵티마덕풍약국,경기도 하남시 덕풍동 394번지 1호 하남프라자 403호,"경기도 하남시 신장로 156, 403호 (덕풍동, 하남프라자)",20070906,운영중,465012,100,약국,20070906,,
41450,하남시,규민약국,경기도 하남시 덕풍동 744번지 KNmall 403호,"경기도 하남시 덕풍동로 111-21, 403호 (덕풍동)",20090402,운영중,465013,49.53,약국,20090402,127.20767184962455,37.55177164936038
41450,하남시,하남프라자 약국,경기도 하남시 신장동 523번지 4호,"경기도 하남시 대청로 29 (신장동, 대유빌딩)",20110421,운영중,,80.7,약국,20110421,127.21555871948266,37.54123746940227
41450,하남시,다솜약국,경기도 하남시 덕풍동 418번지 1호 1층,"경기도 하남시 신장로136번길 7, 1층 (덕풍동)",20120229,운영중,465813,34.96,약국,20120229,127.20326878029158,37.53895631191876
41450,하남시,장수약국,경기도 하남시 덕풍동 415번지 84호 203호,"경기도 하남시 신장로 150, 203호 (덕풍동)",20120109,운영중,465813,18.8,약국,20120109,,
41450,하남시,서약국,경기도 하남시 신장2동 569번지 대명강변타운아파트상가동 101호,"경기도 하남시 대청로 79-1, 101호 (신장동)",20131001,운영중,465722,29.25,약국,20131001,127.22200510646722,37.54166521313894
41450,하남시,옵티마부영약국,경기도 하남시 창우동 518번지 부영아파트상가 101호,"경기도 하남시 대청로 119-1, 101호 (창우동, 부영아파트상가 )",20100607,운영중,465710,33,약국,20100607,127.22532907527943,37.54076512721782
41450,하남시,은혜온누리약국,경기도 하남시 신장동 523번지 1호,경기도 하남시 대청로 33 (신장동),20120801,운영중,465810,70,약국,20120801,127.21555871948266,37.54123746940227
41450,하남시,참좋은약국,경기도 하남시 덕풍동 387번지 19호,"경기도 하남시 신장로 170, 1층 (덕풍동)",20140203,운영중,465012,43.8,약국,20140203,127.20067567020538,37.54073751620908
41450,하남시,한결약국,경기도 하남시 신장동 427번지 34호 1층,"경기도 하남시 신평로 70, 1층 (신장동)",20131216,운영중,465820,13.2,약국,20131216,127.20789144310183,37.53956454745474
41450,하남시,나리울약국,경기도 하남시 덕풍동 741번지 하남푸르지오시티 107호,"경기도 하남시 덕풍동로 111-33, 107호 (덕풍동, 하남푸르지오시티)",20140319,운영중,465831,80.08,약국,20140319,127.20842554704441,37.55258482227709
41450,하남시,한미약국,경기도 하남시 덕풍동 426번지 7호,경기도 하남시 신장로 141 (덕풍동),20131118,운영중,465804,40,약국,20131118,127.20259803894916,37.53862229303767
41450,하남시,우리약국,경기도 하남시 덕풍1동 681번지 1호 한솔리치빌1단지아파트상가동 108호,"경기도 하남시 덕산로 33, 108호 (덕풍동, 한솔리치빌1단지아파트)",20131227,운영중,465713,34.2,약국,20131227,127.19608778187184,37.53440219061864
41450,하남시,해성약국,경기도 하남시 덕풍동 372번지 2호 110호 대동피렌체상가,"경기도 하남시 신장로 151, 110호 (덕풍동, 대동피렌체상가)",20140516,운영중,465804,33,약국,20140516,127.20184023485305,37.53956783733955
41450,하남시,모범약국,경기도 하남시 신장동 427번지 228호,"경기도 하남시 신평로 55, 1층 (신장동)",20150105,운영중,465031,53.94,약국,20150105,127.20789144310183,37.53956454745474
41450,하남시,에이원약국,경기도 하남시 감일동 249번지 3호 2층,"경기도 하남시 동남로424번길 73, 2층 (감일동)",20150224,운영중,465190,15,약국,20150224,127.14569019562857,37.51119683389199
41450,하남시,한우리약국,경기도 하남시 신장동 427번지 78호 1층,"경기도 하남시 신평로 49, 1층 (신장동)",20141208,운영중,465031,43,약국,20141208,127.20789144310183,37.53956454745474
41150,의정부시,신진약국,경기도 의정부시 의정부1동 220번지 51호,경기도 의정부시 호국로1309번길 21 (의정부동),19640208,운영중,480844,10,약국,19640208,127.04896031224469,37.74418514744729
41150,의정부시,태평양약국,경기도 의정부시 의정부1동 34-13,경기도 의정부시 태평로90번길 3 (의정부동),19650920,운영중,480840,214.94,약국,19650920,127.04354567303255,37.75138060170846
41150,의정부시,대광약국,경기도 의정부시 용현동 556번지 1호,"경기도 의정부시 충의로 52, 1층 (용현동)",19711222,운영중,,38.25,약국,19711222,127.08782282712652,37.73663770493423
41150,의정부시,성민온누리약국,경기도 의정부시 호원동 464번지 3호,경기도 의정부시 평화로 183 (호원동),19810422,운영중,480856,25,약국,19810422,127.04785723427148,37.70854677590067
